Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Fine Particulate Matter,2016-06-27,18,18,9999,9999,9999,9999,9,7,17,18,19,17,19,17,17,16,6,11,13,6,5,6,11,7
31103,Fine Particulate Matter,2016-06-28,6,7,2,1,0,0,2,3,2,2,6,8,9,13,16,12,7,5,9,7,6,6,7,6
31103,Fine Particulate Matter,2016-06-29,4,2,1,0,2,7,4,8,21,17,30,20,25,18,9,15,13,16,18,15,13,11,11,9
31103,Fine Particulate Matter,2016-06-30,7,8,10,20,10,14,17,16,12,12,12,12,9,8,8,12,12,10,5,4,6,6,10,9
31103,Fine Particulate Matter,2016-07-01,8,17,19,16,17,12,5,2,1,1,2,5,5,3,1,0,1,1,1,1,0,3,2,1
31103,Fine Particulate Matter,2016-07-02,1,1,1,1,1,2,2,3,4,4,4,4,3,4,4,5,5,5,5,14,12,11,10,11
31103,Fine Particulate Matter,2016-07-03,26,16,18,13,16,16,13,15,16,13,13,13,12,11,10,9,12,13,14,15,13,12,12,12
31103,Fine Particulate Matter,2016-07-04,15,16,13,12,12,14,13,10,13,13,6,7,7,6,6,7,7,5,5,5,4,4,5,5
31103,Fine Particulate Matter,2016-07-05,6,5,5,6,10,9,12,14,13,10,9,8,8,10,10,9,8,7,8,7,6,7,6,6
31103,Fine Particulate Matter,2016-07-06,9,8,10,11,12,36,29,26,26,23,21,28,9999,9999,23,18,12,8,9,10,11,6,6,6
31103,Fine Particulate Matter,2016-07-07,6,6,6,6,7,8,9,9,12,13,18,20,20,13,12,12,12,13,13,12,9,9,9,11
31103,Fine Particulate Matter,2016-07-08,14,16,16,16,17,16,16,13,11,9,11,12,13,13,11,13,12,13,11,10,11,11,8,6
31103,Fine Particulate Matter,2016-07-09,9,11,9,9,10,7,7,5,7,7,9,10,6,3,2,3,5,5,4,5,4,4,4,4
31103,Fine Particulate Matter,2016-07-10,3,3,3,4,5,5,4,4,2,1,2,1,2,2,2,2,2,3,4,7,9,10,12,10
